,true_is_max,true_dist_from_max,true_average_dist_from_max,true_average_dist,true_temp,random_choiceis_max,random_choicedist_from_max,random_choiceaverage_dist_from_max,random_choiceaverage_dist,random_choicetemp,random_probabilitiesis_max,random_probabilitiesdist_from_max,random_probabilitiesaverage_dist_from_max,random_probabilitiesaverage_dist,random_probabilitiestemp,best_is_max,best_dist_from_max,best_average_dist_from_max,best_average_dist,best_temp,all_one_is_max,all_one_dist_from_max,all_one_average_dist_from_max,all_one_average_dist,all_one_temp
30,0,0.44123320057897814,0.44123320057897814,0.4492471072274716,0.6376281516217733,0,0.5134171475557637,0.5134171475557637,0.5134171475557637,0.6703200460356393,0,0.09697200557572695,0.09697200557572697,0.31158655830454235,0.4965853037914095,0,0.44123320057897814,0.44123320057897814,0.4598959820431874,0.6376281516217733,1,1.0,0.3659576292439695,0.3659576292439695,0.5866462195100318
31,1,1.0,1.0,0.3999287273618063,1.0,0,0.6411804200931809,0.6411804200931809,0.6411804200931809,0.7351414805916845,0,0.2018965826015386,0.2018965826015386,0.2940230457015209,0.5404329964865341,1,1.0,1.0,0.41849648009909834,1.0,1,1.0,0.2810880080894452,0.2810880080894452,0.5506911261646663
32,1,1.0,0.807165495053077,0.6578611346764461,0.8424604416167714,0,0.7788008074089267,0.7788008074089267,0.7788008074089267,0.8187307530779818,0,0.018315675520030276,0.018315675520030276,0.4456650910476258,0.44932896411722156,1,1.0,0.807165495053077,0.773721179671608,0.8424604416167714,1,1.0,0.4132942301913896,0.4132942301913896,0.6167242143691608
33,1,1.0,0.8533025656240115,0.7287985964160243,0.8751733190429475,0,0.0015034440791604471,0.0015034440791604471,0.0015034440791604471,0.4203503845086819,0,0.9310627844543428,0.9310627844543427,0.5237661402308815,0.9355069850316178,1,1.0,0.8533025656240115,0.7421862719434638,0.8751733190429475,1,1.0,0.5048422150763334,0.5048422150763334,0.6687259444191217
34,0,0.6592406530907419,0.6592406530907419,0.3866339176520057,0.7451888170134805,1,1.0,1.0,1.0,1.0,0,0.15987979493183788,0.15987979493183788,0.3659627397092669,0.5235834657149969,0,0.6592406530907419,0.6592406530907419,0.40585189776903,0.7451888170134805,1,1.0,0.4258324091188281,0.4258324091188281,0.6235858034308502
35,1,1.0,1.0,0.49190181055185334,1.0,0,0.0,0.0,0.0,0.36787944117144233,0,0.36787956379790226,0.36787956379790226,0.32922826350640816,0.6065306597126334,1,1.0,1.0,0.561210929103708,1.0,1,1.0,0.3268836072337441,0.3268836072337441,0.5528920012788026
36,1,1.0,1.0,0.5193074350317047,1.0,0,0.4723666413097295,0.4723666413097295,0.4723666413097295,0.6514390575310556,1,1.0,1.0,0.507871178832703,1.0,1,1.0,1.0,0.5821001223531399,1.0,1,1.0,0.4047175190032297,0.4047175190032297,0.592260016295893
37,0,0.7514773237478248,0.7514773237478248,0.643170112582464,0.8007374029168081,0,0.7514773237478248,0.7514773237478248,0.7514773237478248,0.8007374029168081,0,0.28650488639293076,0.28650488639293076,0.49306037696510424,0.5737534207374327,0,0.7514773237478248,0.7514773237478248,0.7207245008948147,0.8007374029168081,1,1.0,0.5451311290284717,0.5451311290284717,0.6904785504771093
38,0,0.5134171760789322,0.5134171760789322,0.5091044860470461,0.6703200460356393,0,0.09697204328705095,0.09697204328705095,0.09697204328705095,0.4965853037914095,0,0.3678795147473232,0.3678795147473232,0.4779607726696854,0.6065306597126334,0,0.8948393278617676,0.8948393278617676,0.6036095917095223,0.9048374180359595,1,1.0,0.48800816168742156,0.48800816168742156,0.6629132704784655
39,1,1.0,0.8037080734639341,0.5763539312835416,0.83979020473815,0,0.030197436267759312,0.030197436267759312,0.030197436267759312,0.45942582403592663,0,0.44932903600984725,0.44932903600984725,0.4520741637634815,0.6411803884299546,1,1.0,0.7983964548252213,0.7670374262781299,0.8371284313607636,1,1.0,0.49601423807863954,0.49601423807863954,0.6653730571622696
